,code_departement,code_commune,nom_commune,Code postal,id_codedep_codecommune
0,50.0,64001,AAST,,1
1,81.0,55001,ABAINVILLE,,2
2,54.0,60001,ABANCOURT,,3
3,81.0,55002,ABAUCOURT HAUTECOURT,,4
4,80.0,54001,ABAUCOURT SUR SEILLE,,5
5,7.0,25001,ABBANS DESSOUS,,6
6,7.0,25002,ABBANS DESSUS,,7
7,11.0,44001,ABBARETZ,,8
8,54.0,60002,ABBECOURT,,9
9,7.0,25003,ABBENANS,,10
10,51.0,80001,ABBEVILLE,80100.0,11
11,28.0,78001,ABBEVILLE LA RIVIERE,,12
12,80.0,54002,ABBEVILLE LES CONFLANS,,13
13,54.0,60003,ABBEVILLE ST LUCIEN,,14
14,7.0,25004,ABBEVILLERS,,15
15,61.0,34001,ABEILHAN,,16
16,1.0,70001,ABELCOURT,,17
17,50.0,64002,ABERE,,18
18,5.0,39001,ABERGEMENT LA RONCE,,19
19,5.0,39002,ABERGEMENT LE GRAND,,20
20,5.0,39003,ABERGEMENT LE PETIT,,21
21,5.0,39004,ABERGEMENT LES THESY,,22
22,5.0,39005,ABERGEMENT ST JEAN,,23
23,50.0,64003,ABIDOS,,24
24,100.0,37001,ABILLY,,25
25,50.0,64004,ABITAIN,,26
26,49.0,24001,ABJAT SUR BANDIAT,,27
27,55.0,62001,ABLAIN ST NAZAIRE,,28
28,51.0,80002,ABLAINCOURT PRESSOIR,,29
29,55.0,62002,ABLAINZEVELLE,,30
30,78.0,51001,ABLANCOURT,,31
31,28.0,78002,ABLEIGES,,32
32,28.0,78003,ABLIS,,33
33,37.0,14001,ABLON,,34
34,28.0,78004,ABLON SUR SEINE,,35
35,,,ABLON-SUR-SEINE,94480.0,36
36,18.0,42001,ABOEN,,37
37,80.0,54003,ABONCOURT,,38
38,1.0,70002,ABONCOURT GESINCOURT,,39
39,82.0,57002,ABONCOURT SUR SEILLE,,40
40,15.0,74001,ABONDANCE,,41
41,98.0,28001,ABONDANT,,42
42,50.0,64005,ABOS,,43
43,82.0,57003,ABRESCHVILLER,,44
44,21.0,3001,ABREST,,45
45,72.0,5001,ABRIES,,46
46,,,ABRIES-RISTOLAS,5460.0,47
47,53.0,59002,ABSCON,,48
48,42.0,33001,ABZAC,,49
49,7.0,25005,ACCOLANS,,50
50,3.0,89001,ACCOLAY,,51
51,22.0,7001,ACCONS,,52
52,50.0,64006,ACCOUS,,53
53,82.0,57004,ACHAIN,,54
54,82.0,57005,ACHATEL,,55
