,id_codedep_codecommune,PMUN,PCAP,PTOT
0,1,186,7,193
1,2,290,10,300
2,3,621,8,629
3,4,296,3,299
4,5,103,3,106
5,6,252,6,258
6,7,305,5,310
7,8,2067,40,2107
8,9,807,24,831
9,10,323,6,329
10,11,22980,410,23390
11,12,503,13,516
12,13,502,11,513
13,14,324,8,332
14,15,232,4,236
15,16,1059,20,1079
16,17,1795,24,1819
17,18,357,4,361
18,19,859,25,884
19,20,61,1,62
20,21,46,0,46
21,22,53,3,56
22,23,214,8,222
23,24,1149,17,1166
24,25,107,1,108
25,26,622,7,629
26,27,1877,38,1915
27,28,266,5,271
28,29,229,3,232
29,30,166,1,167
30,31,1124,14,1138
31,32,3490,48,3538
32,33,1212,45,1257
33,34,5852,27,5879
34,35,330,3,333
35,36,209,7,216
36,37,70,1,71
37,38,1447,117,1564
38,39,2390,56,2446
39,40,544,13,557
40,41,452,7,459
41,42,1400,20,1420
42,43,2904,60,2964
43,44,383,6,389
44,45,4309,34,4343
45,46,503,1,504
46,47,167,1,168
47,48,90,1,91
48,49,376,12,388
49,50,458,12,470
50,51,79,1,80
51,52,991,28,1019
52,53,2338,32,2370
53,54,610,8,618
54,55,581,11,592
55,56,511,4,515
56,57,604,22,626
57,58,69,2,71
58,59,7957,108,8065
59,60,971,5,976
60,61,311,5,316
61,62,160,0,160
62,63,405,7,412
63,64,380,8,388
64,65,1142,29,1171
65,66,6834,164,6998
66,67,327,9,336
67,68,464,8,472
68,69,798,5,803
69,70,1619,33,1652
70,71,808,11,819
71,72,1021,24,1045
72,73,467,3,470
73,74,872,13,885
74,75,124,2,126
75,76,662,16,678
76,77,88,2,90
77,78,105,3,108
78,79,390,3,393
79,80,297,7,304
80,81,204,7,211
81,82,307,2,309
82,83,143,1,144
83,84,309,5,314
84,85,274,7,281
85,86,1259,25,1284
86,87,202,5,207
87,88,714,8,722
88,89,826,10,836
89,90,3229,57,3286
90,91,359,14,373
91,92,178,2,180
92,93,391,3,394
93,94,109,1,110
94,95,250,0,250
95,96,122,3,125
96,97,29600,400,30000
97,98,245,4,249
98,99,32602,862,33464
99,100,1069,32,1101
100,101,462,52,514
101,102,84,2,86
102,103,253,4,257
103,104,312,8,320
104,105,266,3,269
105,106,240,4,244
106,107,442,7,449
107,108,105,4,109
108,109,421,9,430
109,110,178,4,182
110,111,4153,439,4592
111,112,3044,97,3141
112,113,654,16,670
113,114,182,5,187
114,115,1149,22,1171
115,116,255,4,259
116,117,1037,26,1063
117,118,1899,35,1934
118,119,2796,95,2891
119,120,1772,23,1795
120,121,309,12,321
121,122,285,9,294
122,123,409,10,419
123,124,857,10,867
124,125,133,4,137
125,126,869,29,898
126,127,380,8,388
127,128,226,9,235
128,129,304,7,311
129,130,269,9,278
130,131,2071,32,2103
131,132,1831,59,1890
132,133,1410,230,1640
133,134,1464,27,1491
134,135,75,0,75
135,136,372,6,378
136,137,467,4,471
137,138,5396,170,5566
138,139,518,13,531
139,140,1637,35,1672
140,141,444,16,460
141,142,425,8,433
142,143,94,0,94
143,144,726,54,780
144,145,269,7,276
145,146,271,7,278
146,147,241,6,247
147,148,896,18,914
148,149,276,5,281
149,150,1698,37,1735
150,151,4677,144,4821
151,152,1579,39,1618
152,153,1272,29,1301
153,154,4143,74,4217
154,155,4014,138,4152
155,156,77,3,80
156,157,232,9,241
157,158,2512,57,2569
158,159,2767,34,2801
159,160,60,1,61
160,161,8560,80,8640
161,162,563,11,574
162,163,1473,63,1536
163,164,397,11,408
164,165,4421,141,4562
165,166,270,5,275
166,167,1420,27,1447
167,168,215,3,218
168,169,551,18,569
169,170,383,5,388
170,171,834,14,848
171,172,172,2,174
172,173,134,2,136
173,174,237,5,242
174,175,1490,102,1592
175,176,150,2,152
176,177,205,3,208
177,178,433,16,449
178,179,182,4,186
179,180,304,6,310
180,181,1171,18,1189
181,182,997,24,1021
182,183,2833,31,2864
183,184,2952,26,2978
184,185,5717,53,5770
185,186,4444,109,4553
186,187,987,27,1014
187,188,191,4,195
188,189,115,6,121
189,190,887,12,899
190,191,77,0,77
191,192,520,3,523
192,193,62,1,63
193,194,13,0,13
194,195,136,1,137
195,196,172,5,177
196,197,670,7,677
197,198,133,6,139
198,199,2383,32,2415
199,200,236,1,237
200,201,6189,555,6744
201,202,9691,265,9956
202,203,549,3,552
203,204,378,163,541
204,205,238,2,240
205,206,190,5,195
206,207,168,2,170
207,208,3270,47,3317
208,209,1470,17,1487
209,210,102,1,103
210,211,172,1,173
211,212,262,9,271
212,213,226,30,256
213,214,238,11,249
214,215,25,0,25
215,216,1679,22,1701
216,217,396,8,404
217,218,3923,42,3965
218,219,3546,38,3584
219,220,203,1,204
220,221,267,5,272
221,222,145133,3203,148336
222,223,1320,14,1334
223,224,94,0,94
224,225,30463,577,31040
225,226,5804,78,5882
226,227,170,1,171
227,228,34,4,38
228,229,118,0,118
229,230,56,0,56
230,231,64,3,67
231,232,122,1,123
232,233,9881,198,10079
233,234,148,3,151
234,235,294,4,298
235,236,196,3,199
