,no_voie,type_voie,voie,total_piece,surface_carrez,surface_local,type_local,id_codedep_codecommune,id_bien
0,190.0,RUE,CENTRALE,2,52,50.42,Appartement,27149,1
1,347.0,RUE,DU CHATEAU,3,48,48.22,Appartement,6047,2
2,240.0,RUE,DE PRE BAILLY,2,45,45.36,Appartement,6047,3
3,282.0,CHE,DES LONGES RAYES,2,42,42.2,Appartement,6047,4
4,17.0,LOT,LES JARDINS DE CHEVRY,1,30,30.23,Appartement,6047,5
5,329.0,RUE,DES CARPIERES,1,25,24.8,Appartement,6047,6
6,6.0,RUE,DES USINIERS,1,45,45.54,Appartement,6047,7
7,812.0,RUE,DES VERTES CAMPAGNES,6,160,164.18,Maison,6047,8
8,663.0,RTE,BLANCHE,3,88,84.97,Appartement,6047,9
9,377.0,RUE,DES ABATTOIRS,4,87,88.7,Appartement,6047,10
10,77.0,LOT,CLOS CHAMP VRILLARD,6,143,105.68,Maison,6047,11
11,27.0,RLE,DE L EGLISE,3,53,46.12,Appartement,6047,12
12,242.0,RUE,DE PRE BAILLY,2,50,50.33,Appartement,6047,13
13,8.0,RTE,DE DIVONNE,4,136,134.17,Appartement,6047,14
14,923.0,RTE,DE MURY,4,86,99.39,Maison,6047,15
15,77.0,RUE,LA PIECE,5,118,123.16,Maison,6047,16
16,256.0,AV,DE BELLE FERME,2,34,34.56,Appartement,6047,17
17,256.0,AV,DE BELLE FERME,3,55,55.4,Appartement,6047,18
18,88.0,RUE,DE LA PIERRE,3,170,222.97,Maison,6047,19
19,120.0,CHE,DU MARTINET,3,67,67.94,Appartement,6047,20
20,68.0,RUE,DES USINIERS,4,68,61.54,Appartement,6047,21
21,18.0,AV,FRANCIS BLANCHARD,2,54,51.0,Appartement,6047,22
22,711.0,RUE,DES MORAINES,2,41,42.92,Appartement,6047,23
23,120.0,CHE,DU MARTINET,3,67,68.08,Appartement,6047,24
24,242.0,RUE,DES VERTES CAMPAGNES,3,105,92.45,Appartement,6047,25
25,183.0,RUE,DU VIEUX BOURG,1,30,45.12,Appartement,6047,26
26,346.0,RUE,DE PRE BAILLY,3,68,68.45,Appartement,6047,27
27,348.0,RUE,DE PRE BAILLY,4,77,77.86,Appartement,6047,28
28,67.0,RTE,DE GENEVE,2,42,42.01,Appartement,6047,29
29,282.0,CHE,DES LONGES RAYES,2,42,42.59,Appartement,6047,30
30,170.0,RUE,DES TERREAUX,2,33,32.6,Appartement,6047,31
31,71.0,CHE,DE LA PRALAY,2,65,58.13,Appartement,6047,32
32,58.0,AV,DU MONT BLANC,6,130,130.8,Appartement,9385,33
33,1403.0,RUE,JEAN DE GINGINS,4,96,93.23,Maison,9385,34
34,44.0,ALL,DU SQUARE DE LAUSANNE,4,88,88.11,Appartement,9385,35
35,90.0,RUE,DE LAUSANNE,4,133,135.68,Appartement,9385,36
36,786.0,AV,DES VOIRONS,2,46,46.05,Appartement,9385,37
37,47.0,CHE,DES ECOLIERS,2,42,51.7,Appartement,9385,38
38,114.0,RUE,DU CONTE DES PERMISSIONS,2,63,58.62,Appartement,9385,39
39,28.0,CHE,DU PEUDEX,3,63,67.33,Appartement,9385,40
40,644.0,RUE,D ARBERE,5,96,96.46,Maison,9385,41
41,96.0,RUE,DU JURA,4,90,90.4,Appartement,9385,42
42,152.0,GR,GRANDE RUE,1,35,50.11,Appartement,9385,43
43,140.0,RUE,DE L'ABBE JOLIVET,5,109,109.22,Maison,24067,44
44,8.0,RUE,DE GENEVE,2,52,52.58,Appartement,24067,45
45,2.0,RUE,DU RECULET,2,60,58.71,Appartement,24067,46
46,226.0,ALL,DES CAPUCINES,5,117,117.0,Maison,24067,47
